tweet,sentiment
jalan jalan ke bandung (cakep) pulang pulang naik bb yah spertinyah selalu happy kalau naik whoosh ke bandung terus bisa wisata kuliner️ https://t.co/ggUTwWZyXZ,positive
Sebanyak 16 penari yg terbagi dalam 8 kereta menampilkan Tari Bajidor Kahot dan Kembang Selaras di atas kereta cepat Whoosh dlm rangka memperingati Hari Lahir Pancasila 1 Juni. Harusnya dpt rekor muri ini kategori Penampilan Tari Tradisional di atas Moda Tercepat https://t.co/7A2VOCV5p2,positive
PT Kereta Cepat Indonesia China (KCIC) menggelar diskon tiket kereta cepat Whoosh sebesar 20 persen untuk menyambut HUT ke-497 Jakarta pada Sabtu (22/6). GM Corporate Secretary PT KCIC Eva Chairunisa mengungkapkan terdapat sejumlah syarat dan ketentuan yang perlu diperhatikan https://t.co/nOUNVgegNU,positive
Bayangin kalo dari dulu udah ada Whoosh: - Tiap hari bisa healing di Lembang - Rumah di Bandung tetep bisa meeting pagi di Jakarta - Pasangan LDR Jakarta Bandung masih bisa pada awet. Kalo dari dulu udah ada FWC apa lagi yang bisa berubah?,positive
Eh ada tau temen kantor gua PP bandung - jakarta. Karena hybrid jadinya rabu pagi berangkat naik Whoosh nyambung lrt trus tj. Ntar nginep di bobobox jumat malemnya pulang lagi naik Whoosh. Sebulan 3-4x lebih murah daripada ngekos katanya. Plus udah berkeluarga jg jd harus pp,positive
@raikablitz Waaah asik nih! Jangan lupa Whoosh Whoosh Whoosh Yes nya yaa,positive
stengah 3 masih di bandung. naik whoosh-LRT-busway jam 4 udah sampe kosan cok wakakakaka,positive
Nah yang sering commute Jakarta Bandung mana nihh? Ada paket Tiket whoosh Pergi Pulang lebih murah lho sudah ada yang beli? Angkat tangannya coba️️️,positive
Penumpang Whoosh Pecah Rekor Terbanyak Selama Beroperasi https://t.co/YDhvKLK5R1,positive
Cetak Rekor! Penumpang Whoosh Capai 22.249 pada Kamis https://t.co/VlTrWxr4Uq,positive
KCIC catat jumlah penumpang harian terbanyak selama Whoosh beroperasi https://t.co/S15gLJjhdR,positive
PT Kereta Cepat Indonesia China (KCIC) mencatat jumlah penumpang harian terbanyak sejak dioperasikan secara komersial dengan sebanyak 22.249 penumpang yang menggunakan kereta cepat Whoosh yang terjadi pada Kamis (27/6). https://t.co/3ORlK82dpX,positive
Libur Sekolah Jumlah Penumpang Whoosh Cetak Rekor Tertinggi https://t.co/Gr8jq1DTCu,positive
Pecah Rekor! Kereta Cepat Whoosh Angkut 22.249 Penumpang Kemarin https://t.co/US1qnrQYKQ,positive
Jumlah Penumpang Harian Kereta Cepat Whoosh Cetak Rekor https://t.co/tlkQmxd0j0,positive
Penumpang Whoosh Membludak-Pecah Rekor Terbanyak Ini Alasannya https://t.co/3VRsd2HlLc,positive
Hampir Setahun Beroperasi Kereta Cepat WHOOSH Angkut 3 5 Juta Penumpang https://t.co/k1JfiAY4Ox,positive
Musim Libur Sekolah 350 Ribu Tiket Kereta Cepat Whoosh Habis Terjual https://t.co/2wzv36FEJI #TempoBisnis,positive
